"Pres_abs","bio_1","bio_12"
0,12.5438232421875,1559
0,12.5438232421875,1559
0,11.8158750534058,1649
0,14.6184997558594,1209
0,11.8158750534058,1649
0,15.6635103225708,1262
0,11.8158750534058,1649
0,12.5438232421875,1559
0,12.5438232421875,1559
0,11.8158750534058,1649
0,11.8158750534058,1649
0,12.5438232421875,1559
0,12.5438232421875,1559
0,13.1241664886475,1521
0,12.5438232421875,1559
0,13.4459686279297,1483
0,11.6744060516357,1212
0,7.06699991226196,777
0,9.88541698455811,1322
0,9.8033332824707,1345
0,16.0631465911865,1366
0,11.8158750534058,1649
0,14.382740020752,1470
0,11.8158750534058,1649
0,14.0852499008179,1286
0,15.6486978530884,1273
0,14.1352081298828,1334
0,7.06699991226196,777
0,12.4747400283813,1288
0,12.6925001144409,1322
0,12.5438232421875,1559
0,12.9550313949585,1354
0,12.5438232421875,1559
1,14.6634378433228,671
0,10.3379163742065,1740
0,12.5438232421875,1559
0,9.8033332824707,1345
0,10.0286045074463,676
0,14.8013334274292,1494
0,12.0772399902344,1178
0,15.929708480835,1327
0,13.9513540267944,1496
0,12.9550313949585,1354
0,11.8158750534058,1649
0,12.5438232421875,1559
0,11.8158750534058,1649
0,11.8158750534058,1649
0,11.8158750534058,1649
0,12.5438232421875,1559
0,12.5438232421875,1559
0,12.5438232421875,1559
0,12.5438232421875,1559
0,12.5734996795654,1165
0,12.4747400283813,1288
0,15.5760316848755,1325
0,15.905198097229,912
0,15.267749786377,759
0,10.463794708252,1139
0,9.59507274627686,229
0,10.2630786895752,1321
0,10.9233999252319,1074
0,9.54404163360596,1106
0,9.54404163360596,1106
0,11.5811462402344,1476
0,11.3547296524048,1129
0,11.3547296524048,1129
0,11.1694688796997,1170
0,10.6639795303345,1463
0,10.6639795303345,1463
0,10.6639795303345,1463
0,10.6639795303345,1463
0,10.1749134063721,2306
0,10.253978729248,2160
0,10.0695724487305,346
0,10.5867500305176,1916
0,9.66156196594238,826
0,10.0695724487305,346
0,10.0695724487305,346
0,10.0695724487305,346
1,11.7528438568115,209
0,11.7528438568115,209
1,10.8716459274292,310
0,9.70030212402344,418
0,9.65427112579346,633
0,9.65427112579346,633
0,9.66156196594238,826
0,11.5811462402344,1476
0,11.1694688796997,1170
0,11.1694688796997,1170
0,9.54404163360596,1106
0,4.41746854782104,1984
0,7.9877552986145,1467
0,10.463794708252,1139
1,8.64020824432373,269
0,8.18376064300537,366
0,10.7965106964111,179
0,10.3105001449585,209
0,8.80687522888184,299
0,8.37944793701172,381
0,8.06491661071777,296
0,6.9528021812439,321
0,6.9528021812439,321
0,9.57885456085205,280
0,8.56437492370605,384
1,8.56437492370605,384
0,7.11924982070923,303
0,9.02940654754639,293
0,8.97094821929932,237
0,6.9528021812439,321
0,7.72040605545044,305
0,8.20388507843018,289
0,8.24613571166992,294
0,8.06491661071777,296
0,8.54436492919922,270
0,8.03874969482422,318
0,8.10155200958252,268
0,13.0484409332275,1061
0,8.24613571166992,294
0,8.05068778991699,492
0,7.37885427474976,616
0,9.04330253601074,286
0,7.37885427474976,616
0,5.45246887207031,356
0,7.29223966598511,620
0,5.25990629196167,651
0,8.06491661071777,296
0,7.12462520599365,324
0,10.4641151428223,271
0,10.2397394180298,288
0,10.2697496414185,267
0,10.2697496414185,267
0,10.2697496414185,267
0,10.35071849823,1184
1,8.06491661071777,296
0,8.41319751739502,1846
0,7.91105222702026,1607
0,8.41319751739502,1846
0,8.41319751739502,1846
0,8.41319751739502,1846
0,7.91105222702026,1607
0,8.41319751739502,1846
0,8.41319751739502,1846
0,8.41319751739502,1846
0,8.41319751739502,1846
0,7.91105222702026,1607
0,7.91105222702026,1607
0,7.91105222702026,1607
0,6.66622924804688,1877
0,8.69128131866455,2001
0,9.58093738555908,1744
0,10.0779914855957,584
0,9.69397068023682,698
0,11.4857387542725,1673
0,11.4857387542725,1673
0,11.4857387542725,1673
0,11.4857387542725,1673
0,11.4009780883789,1920
0,11.1378450393677,1654
0,11.0222501754761,1962
0,11.5798645019531,2033
0,11.3512287139893,1976
0,11.4857387542725,1673
0,11.4857387542725,1673
0,9.964599609375,2554
0,11.3033752441406,1816
0,11.2128467559814,1921
0,11.2128467559814,1921
0,11.5798645019531,2033
0,11.3512287139893,1976
0,11.3033752441406,1816
0,11.5798645019531,2033
0,11.5798645019531,2033
0,10.5271453857422,1795
0,13.4254884719849,735
0,11.8215942382812,1208
0,14.2256355285645,596
0,6.01088523864746,262
0,8.31284332275391,658
0,3.17931246757507,810
0,14.3200731277466,1056
0,15.1239738464355,435
0,14.1671142578125,802
0,4.42827081680298,377
0,13.4431982040405,1120
0,10.1288442611694,1468
1,9.35315608978271,419
0,11.7126350402832,545
0,8.6951150894165,555
0,8.83260440826416,511
0,8.64158344268799,496
0,8.84429168701172,520
0,8.92438507080078,534
0,9.94425010681152,488
